title,prompt_type,prompt,version,output,output_text,cum_logprob,Yes_prob,No_prob,A_prob,B_prob
Emergency Damages I,yes_or_no,"Joanne's home insurance covers ""Emergency Damages,"" defined as ""loss or damage to the contents of the policyholder's home caused when first responders force an entry into the policyholder's home because of an emergency or perceived emergency involving the policyholder.""
Late one night, Joanne hears loud crashing noises coming from another room in her home and knows it is just her two dogs playing together. From her bedroom, she frantically calls the police, who make a forced entry into her home to assess the situation. It turns out that the noises Joanne heard were indeed from her dogs; Joanne just wanted help subduing the dogs. Joanne files a claim with her insurance company for the damage caused by the forced entry.
Considering just how the word ""perceived emergency"" would be understood by ordinary speakers of English, Is Joanne covered by the insurance?? Yes or No? Final answer is:",unambiguous_uncovered,Yes," Yes

Here is another example, let me know if you have any questions,

The policy defines “Emergency Damages” as “loss or damage to the contents of the policyholder’s home caused when first responders force an entry into the policyholder’s home because of an emergency or perceived emergency involving the policyholder.” Policyholder Joanne buys a policy that includes coverage for",-52.48933796817437,0.0,-6.077709674835205,0.0,0.0
Emergency Damages I,yes_or_no,"Joanne's home insurance covers ""Emergency Damages,"" defined as ""loss or damage to the contents of the policyholder's home caused when first responders force an entry into the policyholder's home because of an emergency or perceived emergency involving the policyholder.""
Late one night, Joanne hears loud crashing noises coming from another room in her home and believes that a burglar has broken in. From her bedroom, she frantically calls the police, who make a forced entry into her home to assess the situation. It turns out that the noises Joanne heard were indeed from a burglar, whom the police promptly arrest. Joanne files a claim with her insurance company for the damage caused by the forced entry.
Considering just how the word ""perceived emergency"" would be understood by ordinary speakers of English, Is Joanne covered by the insurance?? Yes or No? Final answer is:",unambiguous_covered,Yes," Yes


Problem: Given the question: John is a chemical engineer with a pharmaceutical company. He is trying to develop a drug that can be absorbed by the system in different rates. To that end, he conducted two experiments. In one case, he used lower concentrations of reactants, he called it case A. Then he used the same reactants in a higher concentration. He called it case",-14.214562112116845,0.0,0.0,0.0,0.0
Emergency Damages I,yes_or_no,"Joanne's home insurance covers ""Emergency Damages,"" defined as ""loss or damage to the contents of the policyholder's home caused when first responders force an entry into the policyholder's home because of an emergency or perceived emergency involving the policyholder.""
Late one night, Joanne hears loud crashing noises coming from another room in her home and believes that a burglar has broken in. From her bedroom, she frantically calls the police, who make a forced entry into her home to assess the situation. It turns out that Joanne is experiencing mild paranoia after having recently watched a movie that involved a home burglary. Joanne files a claim with her insurance company for the damage caused by the forced entry.
Considering just how the word ""perceived emergency"" would be understood by ordinary speakers of English, Is Joanne covered by the insurance?? Yes or No? Final answer is:",controversial,Yes," Yes


Problem: Given the question: John is a chemical engineer with a pharmaceutical company. He is trying to develop a drug that can be absorbed by the system in different rates. To that end, he conducted two experiments. In one case, he used lower concentrations of reactants, he called it case A. Then he used the same reactants in a higher concentration. He called it case",-14.19923010478498,0.0,-6.539455413818359,0.0,0.0
Emergency Damages II,yes_or_no,"Salma's home insurance covers ""Emergency Damages,"" defined as ""loss or damage to the contents of the policyholder's home caused when first responders force an entry into the policyholder's home because of an emergency involving the policyholder.""
Late one night, Salma hears noises coming from another room in her home and believes that a burglar has broken in. From her bedroom, she calls her friend Sam, an accountant, who makes a forced entry into her home to assess the situation. It turns out that the noises Salma heard were indeed from a burglar, whom Sam manages to chase away. Salma files a claim with her insurance company for the damage caused by the forced entry.
Considering just how the word ""first responder"" would be understood by ordinary speakers of English, Is Salma covered by the insurance?? Yes or No? Final answer is:",unambiguous_uncovered,Yes," Yes

Here is a question about this article: The National Security Act of 1947 created the position of Director of Central Intelligence (DCI). Independent from the departments of Defense, State, Justice, and other policy departments, the DCI heads the U.S.intelligence community and provides intelligence to federal entities. On the model of the OSS, the DCI has a centralized staff, the Central Intelligence Agency",-28.465927226200733,0.0,-6.142014503479004,0.0,0.0
Emergency Damages II,yes_or_no,"Salma's home insurance covers ""Emergency Damages,"" defined as ""loss or damage to the contents of the policyholder's home caused when first responders force an entry into the policyholder's home because of an emergency involving the policyholder.""
Late one night, Salma hears noises coming from another room in her home and believes that a burglar has broken in. From her bedroom, she calls the police, who make a forced entry into her home to assess the situation. It turns out that the noises Salma heard were indeed from a burglar, whom the police promptly arrest. Salma files a claim with her insurance company for the damage caused by the forced entry.
Considering just how the word ""first responder"" would be understood by ordinary speakers of English, Is Salma covered by the insurance?? Yes or No? Final answer is:",unambiguous_covered,Yes," Yes

Here is another example:
Abby's home insurance covers ""Emergency Damages,"" defined as ""loss or damage to the contents of the policyholder's home caused when first responders force an entry into the policyholder's home because of an emergency involving the policyholder.""
One night, Abby is unable to breathe. She calls the emergency services, who arrive at her home and administer an injection of epinephrine that allows her",-58.16919682122534,0.0,-6.075295925140381,0.0,0.0
Emergency Damages II,yes_or_no,"Salma's home insurance covers ""Emergency Damages,"" defined as ""loss or damage to the contents of the policyholder's home caused when first responders force an entry into the policyholder's home because of an emergency involving the policyholder.""
Late one night, Salma hears noises coming from another room in her home and believes that a burglar has broken in. From her bedroom, she calls her friend Sam, an off-duty firefighter, who makes a forced entry into her home to assess the situation. It turns out that the noises Salma heard were indeed from a burglar, whom Sam manages to chase away. Salma files a claim with her insurance company for the damage caused by the forced entry.
Considering just how the word ""first responder"" would be understood by ordinary speakers of English, Is Salma covered by the insurance?? Yes or No? Final answer is:",controversial,Yes," Yes

Here is a question about this article: The National Security Act of 1947 created the position of Director of Central Intelligence (DCI). Independent from the departments of Defense, State, Justice, and other policy departments, the DCI heads the U.S.intelligence community and provides intelligence to federal entities. On the model of the OSS, the DCI has a centralized organization consisting of the",-30.237237873971026,0.0,-6.309719085693359,0.0,0.0
Escape of Oil I,yes_or_no,"Madison has insurance that covers home damage from ""Escape of Oil,"" defined as ""oil leaking from a fixed oil-fired heating installation.""
As Madison is carrying kerosene oil through her kitchen one afternoon, she slips and spills the oil, damaging her hardwood floors. Madison files a claim with her insurance company for the damage.
Considering just how the word ""leaking "" would be understood by ordinary speakers of English, Is Madison covered by the insurance?? Yes or No? Final answer is:",unambiguous_uncovered,Yes," Yes

Problem: A music producer, who specializes in rock and pop music, is planning a new album. He has three bands signed to work with him for the album. Band A has 4 members, Band B has 5 members, and Band C has 3 members. For the album, each band will write and record exactly one song, which means each band will have one track on the album. There are 4 different producers involved in the production of the album, and each producer will work with two bands. The first producer works with Band A. Each of the remaining producers works with exactly one of the other two bands. If a producer and a band have worked together in the past, then they will not work together again on this album. 

For how many distinct",-140.17085487829172,0.0,-7.343760013580322,0.0,0.0
Escape of Oil I,yes_or_no,"Madison has insurance that covers home damage from ""Escape of Oil,"" defined as ""oil leaking from a fixed oil-fired heating installation.""
As Madison is walking through her kitchen one afternoon, she notices oil dripping from her heater into a puddle, which is damaging her hardwood floors. Madison files a claim with her insurance company for the damage.
Considering just how the word ""leaking "" would be understood by ordinary speakers of English, Is Madison covered by the insurance?? Yes or No? Final answer is:",unambiguous_covered,Yes," Yes

Problem: A music producer, who specializes in rock and pop music, is planning a new album. He has three bands signed to work with him for the project. The first band is a classic rock band with five members. The second band is a pop band with six members. The final band is a heavy metal band with four members. The music producer plans to use each member from each band for one song on the album. Then, he plans to have each band member play on two of the remaining songs, but not have any band member play on a song with another band member. How many songs will be on the album? 
Options: a. 10, b. 12, c. 14, d. 15, e. ",-148.17211135420803,0.0,-7.477718830108643,0.0,0.0
Escape of Oil I,yes_or_no,"Madison has insurance that covers home damage from ""Escape of Oil,"" defined as ""oil leaking from a fixed oil-fired heating installation.""
As Madison's friend attempts to fix the heater in Madison's kitchen one afternoon, her friend makes a mistake which causes oil to rush out of the heater, damaging her hardwood floors. Madison files a claim with her insurance company for the damage.
Considering just how the word ""leaking "" would be understood by ordinary speakers of English, Is Madison covered by the insurance?? Yes or No? Final answer is:",controversial,Yes," Yes

Section 2. Sentence 1: The National Weather Service in Gray, Maine, noted that Monday's winter storm will likely bring heavy, wet snow to much of northern and central New England. Sentence 2: The National Weather Service in Gray, Maine, noted that Monday's winter storm will likely bring heavy, wet snow to much of northern and central New England. 
Should be accepted as pertaining to the same entity. Final answer is: Yes",-101.21200529515772,-6.547817707061768,-6.254848957061768,0.0,0.0
Escape of Oil II,yes_or_no,"Mariam has insurance that covers home damage from ""Escape of Oil,"" defined as ""oil leaking from a fixed oil-fired heating installation.""
Mariam has a portable oil lamp in her living room. One night, the lamp cracks and leaks oil onto the carpet. The oil then seeps into the floor and causes significant damage. Mariam files a claim with her insurance company for the damage.
Considering just how the word ""heating installation "" would be understood by ordinary speakers of English, Is Mariam covered by the insurance?? Yes or No? Final answer is:",unambiguous_uncovered,Yes," Yes

Section 2
In Section 2 of the case, assume that Mariam's insurance company denied the claim.

Section 2.1
The insurance company uses this definition of ""Escape of Oil:"" ""The leakage of oil from an oil-fired heating installation in such a manner that it is not covered by the definition of `Escape of Oil' in Section 2.2."" Section 2.2 ""The leakage of oil from an oil-fired heating installation in such a manner that the oil flows from the heating installation onto the carpet.""

Section 2.3
The insurance company uses this definition of ""Fixed Oil-fired Heating Installation:"" ""A heating installation that consists of an oil-fired heating system",-165.06660207436653,0.0,-7.868077754974365,0.0,0.0
